subject,subject_type,subject_role,relation,object,object_type,object_role,sentence,source_url,strategy
Alcaraz,PERSON,Player,won,Australian Open,ORG,Tournament,"In 2026, Alcaraz won the Australian Open, becoming the youngest man in history to complete the Career Grand Slam, at 22 years, 8 months and 27 days old.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alcaraz,PERSON,Player,won,Australian Open,ORG,Tournament,"They had further high profile encounters in the quarterfinals of the 2023 US Open, won by Alcaraz, and the quarterfinals of the 2024 Australian Open, won by Zverev.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alcaraz,PERSON,Player,won,Australian Open,ORG,Tournament,"Zverev won the next two sets in a pair of tiebreaks, but Alcaraz recovered in time to win the fifth set, proceeding to his maiden Australian Open final.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alcaraz,PERSON,Player,won,Australian Open,ORG,Tournament,"Both players met again in the quarterfinals of 2025 Australian Open, in which Djokovic won in four sets[377] and in the semifinals of 2025 US Open, in which Alcaraz won in straight sets.",https://en.wikipedia.org/wiki/Novak_Djokovic,cooccurrence
Alcaraz,PERSON,Player,won,French Open,ORG,Tournament,"Alcaraz won their first major final at the French Open, despite Sinner holding three championship points in the fourth set.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alcaraz,PERSON,Player,won,Grand Slam,ORG,Tournament,"In 2026, Alcaraz won the Australian Open, becoming the youngest man in history to complete the Career Grand Slam, at 22 years, 8 months and 27 days old.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alcaraz,PERSON,Player,won,US Open,ORG,Tournament,"In 2022, Alcaraz won his first major title at the US Open.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alcaraz,PERSON,Player,won,US Open,ORG,Tournament,"Notable early matches include the 2022 US Open quarterfinal, which Alcaraz won en route to the title in five sets after saving a match point.[235]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alcaraz,PERSON,Player,won,US Open,ORG,Tournament,"They met again at Wimbledon, where Sinner won in four sets, dethroning defending champion Alcaraz; and at the US Open, where Alcaraz won in four sets, dethroning defending champion Sinner.[238]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alcaraz,PERSON,Player,won,US Open,ORG,Tournament,"They had further high profile encounters in the quarterfinals of the 2023 US Open, won by Alcaraz, and the quarterfinals of the 2024 Australian Open, won by Zverev.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alcaraz,PERSON,Player,won,US Open,ORG,Tournament,"Both players met again in the quarterfinals of 2025 Australian Open, in which Djokovic won in four sets[377] and in the semifinals of 2025 US Open, in which Alcaraz won in straight sets.",https://en.wikipedia.org/wiki/Novak_Djokovic,cooccurrence
Alcaraz,PERSON,Player,won,Wimbledon Championships,ORG,Tournament,"In the first round of Wimbledon, Alcaraz was unexpectedly taken to five sets by Fabio Fognini, who had already announced his retirement and had not won a match all season.[209]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alcaraz,PERSON,Player,won,Wimbledon Championships,ORG,Tournament,"They met again at Wimbledon, where Sinner won in four sets, dethroning defending champion Alcaraz; and at the US Open, where Alcaraz won in four sets, dethroning defending champion Sinner.[238]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alcaraz-Jannik Sinner,PERSON,Player,participatedIn,French Open,ORG,Tournament,"s Alcaraz-Jannik Sinner Roland Garros match the best ever played?"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Alexander Zverev,PERSON,Player,playedAgainst,Carlos Alcaraz,PERSON,Player,"""Alexander Zverev Beats Carlos Alcaraz at the French Open"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alexander Zverev,PERSON,Player,playedAgainst,Frances Tiafoe,PERSON,Player,"He received wildcards at the Mexican Open, where he lost to eventual champion Alexander Zverev in the first round;[49] at the Barcelona Open, where he lost to Frances Tiafoe in the first round;[50] and at the Andalucía Open, where he defeated Nikola Miloje",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alexander Zverev,PERSON,Player,playedAgainst,McEnroe,PERSON,Player,"At Rome, Nadal won his 8th title beating Alexander Zverev in three sets, to reach fourth place (overtaking McEnroe) on the men's singles titles in the Open Era leaderboard with 78.[306]",https://en.wikipedia.org/wiki/Rafael_Nadal,dependency
Alexander Zverev,PERSON,Player,playedAgainst,Nikola Miloje,PERSON,Player,"He received wildcards at the Mexican Open, where he lost to eventual champion Alexander Zverev in the first round;[49] at the Barcelona Open, where he lost to Frances Tiafoe in the first round;[50] and at the Andalucía Open, where he defeated Nikola Miloje",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Alexander Zverev,PERSON,Player,playedAgainst,Pablo Carreño Busta,PERSON,Player,"At the 2020 Summer Olympics, Djokovic sought a gold medal, but lost to Alexander Zverev in the semifinals and to Pablo Carreño Busta in the bronze match.[253]",https://en.wikipedia.org/wiki/Novak_Djokovic,dependency
Alexander Zverev,PERSON,Player,playedAgainst,Rafael Nadal,PERSON,Player,"- ""Alexander Zverev beats Rafael Nadal to reach Paris final"".",https://en.wikipedia.org/wiki/Rafael_Nadal,dependency
Alexander Zverev,PERSON,Player,won,Open Era,ORG,Tournament,"At Rome, Nadal won his 8th title beating Alexander Zverev in three sets, to reach fourth place (overtaking McEnroe) on the men's singles titles in the Open Era leaderboard with 78.[306]",https://en.wikipedia.org/wiki/Rafael_Nadal,cooccurrence
Andre Agassi,PERSON,Player,playedAgainst,Agassi,PERSON,Player,"At Wimbledon, Nadal beat No. 20 Andre Agassi in Agassi's last ever match at Wimbledon.[89]",https://en.wikipedia.org/wiki/Rafael_Nadal,dependency
Andre Agassi's,PERSON,Player,won,Open Era,ORG,Tournament,"He won 24 consecutive singles matches, breaking Andre Agassi's Open Era record of consecutive match wins for a male teenager.[69]",https://en.wikipedia.org/wiki/Rafael_Nadal,cooccurrence
Andrey Rublev,PERSON,Player,playedAgainst,Alexander Zverev,PERSON,Player,"He was unwell during the ATP Finals but did not withdraw, beating Andrey Rublev but losing to Casper Ruud and Alexander Zverev in straight sets to exit the tournament at the round robin stage.[183]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Andrey Rublev,PERSON,Player,playedAgainst,Casper Ruud,PERSON,Player,"He was unwell during the ATP Finals but did not withdraw, beating Andrey Rublev but losing to Casper Ruud and Alexander Zverev in straight sets to exit the tournament at the round robin stage.[183]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Andy Murray,PERSON,Player,playedAgainst,Carlos Alcaraz,PERSON,Player,"""Andy Murray battles back to beat Carlos Alcaraz at Indian Wells"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Andy Murray,PERSON,Player,playedAgainst,Guillermo Cañas,PERSON,Player,"In Miami, he defeated Rafael Nadal in the quarterfinals, Andy Murray in the semifinals, and Guillermo Cañas in the final, earning his first Masters title and becoming the youngest male champion in the history of the tournament.[52]",https://en.wikipedia.org/wiki/Novak_Djokovic,dependency
Andy Murray,PERSON,Player,playedAgainst,Novak Djokovic,PERSON,Player,"""Andy Murray beaten by Novak Djokovic in Australian Open final"".",https://en.wikipedia.org/wiki/Novak_Djokovic,dependency
Andy Murray,PERSON,Player,playedAgainst,Novak Djokovic,PERSON,Player,"- ""Andy Murray beats Novak Djokovic to win ATP World Tour Finals, tops men's rankings"".",https://en.wikipedia.org/wiki/Novak_Djokovic,dependency
Andy Murray,PERSON,Player,playedAgainst,Rafa Nadal,PERSON,Player,"- ""Andy Murray beats Rafa Nadal despite awful troubles with serve in Madrid Masters semi-final"".",https://en.wikipedia.org/wiki/Rafael_Nadal,dependency
Andy Murray,PERSON,Player,playedAgainst,Rafael Nadal,PERSON,Player,"- ""Andy Murray beats Rafael Nadal to win Madrid Masters final"".",https://en.wikipedia.org/wiki/Rafael_Nadal,dependency
Andy Murray,PERSON,Player,won,French Open,ORG,Tournament,"Other notable players who have won multiple Grand Slam events but have never won the French Open, includes John McEnroe, Jimmy Connors, John Newcombe, Venus Williams, Stefan Edberg, Virginia Wade, Boris Becker, Andy Murray, Louise Brough, and Martina",https://en.wikipedia.org/wiki/French_Open,cooccurrence
Andy Murray,PERSON,Player,won,Grand Slam,ORG,Tournament,"Other notable players who have won multiple Grand Slam events but have never won the French Open, includes John McEnroe, Jimmy Connors, John Newcombe, Venus Williams, Stefan Edberg, Virginia Wade, Boris Becker, Andy Murray, Louise Brough, and Martina",https://en.wikipedia.org/wiki/French_Open,cooccurrence
Andy Murray,PERSON,Player,won,Wimbledon Championships,ORG,Tournament,"No British man won the singles event at Wimbledon between Fred Perry in 1936 and Andy Murray in 2013, while no British woman has won since Virginia Wade in 1977, although Annabel Croft and Laura Robson won the Girls' Championship in 1984 and 2008 respectively.",https://en.wikipedia.org/wiki/Wimbledon_Championships,cooccurrence
Annabel Croft,PERSON,Player,won,Wimbledon Championships,ORG,Tournament,"No British man won the singles event at Wimbledon between Fred Perry in 1936 and Andy Murray in 2013, while no British woman has won since Virginia Wade in 1977, although Annabel Croft and Laura Robson won the Girls' Championship in 1984 and 2008 respectively.",https://en.wikipedia.org/wiki/Wimbledon_Championships,cooccurrence
Anthony Wilding,PERSON,Player,fromCountry,New Zealand,GPE,Country,"Winners of this tournament included world No. 1s such as Anthony Wilding from New Zealand (1913, 1914) and Bill Tilden from the US (1921).",https://en.wikipedia.org/wiki/French_Open,cooccurrence
Arthur Ashe,PERSON,Player,won,US Open,ORG,Tournament,"The stadium is named after Arthur Ashe, who won the men's singles title at the inaugural US Open in 1968, and was inducted into the International Tennis Hall of Fame in 1985.",https://en.wikipedia.org/wiki/US_Open_(tennis),cooccurrence
Australian Open,ORG,Tournament,hasSurface,Clay,ORG,Surface,"From 2008 to 2019, all of the courts used during the Australian Open were hard courts with Plexicushion acrylic surfaces (though Melbourne Park does have eight practice clay courts which are not used for the tournament).",https://en.wikipedia.org/wiki/Australian_Open,cooccurrence
Australian Open,ORG,Tournament,hasSurface,Hard,ORG,Surface,"From 2008 to 2019, all of the courts used during the Australian Open were hard courts with Plexicushion acrylic surfaces (though Melbourne Park does have eight practice clay courts which are not used for the tournament).",https://en.wikipedia.org/wiki/Australian_Open,cooccurrence
Australian Open,ORG,Tournament,hasSurface,Hard Court,ORG,Surface,"From 2008 to 2019, all of the courts used during the Australian Open were hard courts with Plexicushion acrylic surfaces (though Melbourne Park does have eight practice clay courts which are not used for the tournament).",https://en.wikipedia.org/wiki/Australian_Open,cooccurrence
Beaten Nadal,PERSON,Player,playedAgainst,Djokovic,PERSON,Player,"""Beaten Nadal Vows to Turn Tables on Djokovic"".",https://en.wikipedia.org/wiki/Rafael_Nadal,dependency
Benito Barbadillo,PERSON,Player,fromCountry,Jerez,GPE,Country,"- ""Benito Barbadillo: 'From Jerez circuit to becoming Nadal's agent, here is my life'.",https://en.wikipedia.org/wiki/Rafael_Nadal,cooccurrence
Bertrand Milbourne Clark,PERSON,Player,fromCountry,Jamaica,GPE,Country,"The first black player to compete at Wimbledon was Bertrand Milbourne Clark, an amateur from Jamaica, in 1924.[15]",https://en.wikipedia.org/wiki/Wimbledon_Championships,cooccurrence
Björn Borg,PERSON,Player,won,French Open,ORG,Tournament,"On the other hand, notable players who have won multiple Grand Slam events and have won the French Open, includes Rafael Nadal, Björn Borg, Steffi Graf, Ivan Lendl, Monica Seles, Novak Djokovic, Mats Wilander, Serena Williams, Stan Wawrinka, Justine Henin and Chris Evert, showing proof of their great versatility.",https://en.wikipedia.org/wiki/French_Open,cooccurrence
Björn Borg,PERSON,Player,won,Grand Slam,ORG,Tournament,"On the other hand, notable players who have won multiple Grand Slam events and have won the French Open, includes Rafael Nadal, Björn Borg, Steffi Graf, Ivan Lendl, Monica Seles, Novak Djokovic, Mats Wilander, Serena Williams, Stan Wawrinka, Justine Henin and Chris Evert, showing proof of their great versatility.",https://en.wikipedia.org/wiki/French_Open,cooccurrence
Boris Becker,PERSON,Player,won,French Open,ORG,Tournament,"Other notable players who have won multiple Grand Slam events but have never won the French Open, includes John McEnroe, Jimmy Connors, John Newcombe, Venus Williams, Stefan Edberg, Virginia Wade, Boris Becker, Andy Murray, Louise Brough, and Martina",https://en.wikipedia.org/wiki/French_Open,cooccurrence
Boris Becker,PERSON,Player,won,Grand Slam,ORG,Tournament,"Other notable players who have won multiple Grand Slam events but have never won the French Open, includes John McEnroe, Jimmy Connors, John Newcombe, Venus Williams, Stefan Edberg, Virginia Wade, Boris Becker, Andy Murray, Louise Brough, and Martina",https://en.wikipedia.org/wiki/French_Open,cooccurrence
Botic van de Zandschulp,PERSON,Player,participatedIn,US Open,ORG,Tournament,"He next played the 2024 US Open, where he suffered a shocking second-round defeat in straight sets to Botic van de Zandschulp.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Botic van de Zandschulp,PERSON,Player,playedAgainst,Luca Nardi,PERSON,Player,"Djokovic's next tournament was the Indian Wells Open, where he suffered a second-round defeat to lucky loser Botic van de Zandschulp – the 2nd year in a row where he lost to a lucky loser at the same tournament, following Luca Nardi.",https://en.wikipedia.org/wiki/Novak_Djokovic,dependency
Botic van de Zandschulp,PERSON,Player,playedAgainst,Nadal,PERSON,Player,"At the Davis Cup Finals in Málaga, Botic van de Zandschulp beat Nadal as Spain lost to the Netherlands in the quarterfinals.[377][378]",https://en.wikipedia.org/wiki/Rafael_Nadal,dependency
Brookes,PERSON,Player,won,Wimbledon Championships,ORG,Tournament,"Brookes went to Europe only three times, where he reached the Wimbledon Challenge Round once and then won Wimbledon twice.",https://en.wikipedia.org/wiki/Australian_Open,cooccurrence
Cameron Norrie,PERSON,Player,playedAgainst,Carlos Alcaraz,PERSON,Player,"""Cameron Norrie beats world No 2 Carlos Alcaraz to claim Rio Open"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Cameron Norrie,PERSON,Player,playedAgainst,Nick Kyrgios,PERSON,Player,"He reached a record 32nd Grand Slam final after defeating Cameron Norrie in the semifinals[275] and beat Nick Kyrgios in four sets to claim his seventh Wimbledon and 21st major title, surpassing Roger Federer and moving one behind Nadal.[276][277]",https://en.wikipedia.org/wiki/Novak_Djokovic,dependency
Cameron Norrie,PERSON,Player,playedAgainst,Rafael Nadal.[78,PERSON,Player,"At Indian Wells, Alcaraz defeated defending champion Cameron Norrie to reach his first Masters quarterfinal and semifinal, which he lost to Rafael Nadal.[78]",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Cameron Norrie,PERSON,Player,playedAgainst,Roger Federer,PERSON,Player,"He reached a record 32nd Grand Slam final after defeating Cameron Norrie in the semifinals[275] and beat Nick Kyrgios in four sets to claim his seventh Wimbledon and 21st major title, surpassing Roger Federer and moving one behind Nadal.[276][277]",https://en.wikipedia.org/wiki/Novak_Djokovic,dependency
Camilo Ugo Carabelli,PERSON,Player,playedAgainst,Nadal,PERSON,Player,"At the 2025 Miami Open, Djokovic beat lucky loser Camilo Ugo Carabelli in the third round to claim his record 411th career main draw win at the Masters 1000 level, surpassing Nadal's previous record of 410.[309]",https://en.wikipedia.org/wiki/Novak_Djokovic,dependency
Carlos Alcaraz,PERSON,Player,fromCountry,Spain,GPE,Country,"- ""Carlos Alcaraz: World number one withdraws from Spain's Davis Cup Finals team"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,cooccurrence
Carlos Alcaraz,PERSON,Player,playedAgainst,Alexander Zverev,PERSON,Player,"- ""Carlos Alcaraz beats Alexander Zverev to take Madrid Open title"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Casper Ruud,PERSON,Player,"At the French Open, Djokovic defeated world No. 1 Carlos Alcaraz in the semis and beat Casper Ruud in the final to win a record-breaking 23rd major, becoming the first man to achieve a triple Career Grand Slam.[284",https://en.wikipedia.org/wiki/Novak_Djokovic,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Djokovic,PERSON,Player,"""Carlos Alcaraz Recently Beat Nadal and Djokovic on Clay.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Djokovic,PERSON,Player,"""Carlos Alcaraz follows Federer's 2015 path to US Open final, beats Djokovic without dropping a set"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Federer,PERSON,Player,"""Carlos Alcaraz follows Federer's 2015 path to US Open final, beats Djokovic without dropping a set"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Frances Tiafoe,PERSON,Player,"""Carlos Alcaraz beats Frances Tiafoe in five-set thriller to reach US Open final"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Giulio Zeppieri,PERSON,Player,"- ""Carlos Alcaraz Beats Giulio Zeppieri to Reach Umag Final"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Jannik Sinner,PERSON,Player,"- ""China Open: Carlos Alcaraz recovers to beat Jannik Sinner in dramatic final"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Jannik Sinner,PERSON,Player,"- ""French Open 2025 results: Carlos Alcaraz fights back to beat Jannik Sinner in classic Roland Garros final"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Jannik Sinner,PERSON,Player,"- ""US Open 2025 results: How Carlos Alcaraz produced 'faultless' performance to beat Jannik Sinner and win title"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Jannik Sinner,PERSON,Player,"- ""ATP Finals results 2023: Novak Djokovic beats Carlos Alcaraz to set up Jannik Sinner final"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Nadal,PERSON,Player,"""Carlos Alcaraz Recently Beat Nadal and Djokovic on Clay.",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Novak Djokovic,PERSON,Player,"Carlos Alcaraz defeated four-time defending champion Novak Djokovic in the final, 1–6, 7–6(8–6), 6–1, 3–6, 6–4 to win the gentlemen's singles tennis title at the 2023 Wimbledon Championships.",https://en.wikipedia.org/wiki/2023_Wimbledon_Championships_%E2%80%93_Men%27s_singles,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Novak Djokovic,PERSON,Player,"- ""Carlos Alcaraz beats Novak Djokovic to win Wimbledon title in final for the ages"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Novak Djokovic,PERSON,Player,"""Carlos Alcaraz sees psychologist in bid to beat Novak Djokovic on Centre Court"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Novak Djokovic,PERSON,Player,"- ""Carlos Alcaraz beats Novak Djokovic to win Wimbledon title in final for the ages"".",https://en.wikipedia.org/wiki/Novak_Djokovic,dependency
Carlos Alcaraz,PERSON,Player,playedAgainst,Stefanos Tsitsipas,PERSON,Player,"- ""Carlos Alcaraz beats Stefanos Tsitsipas in Barcelona Open thriller to guarantee spot in world's top-10"".",https://en.wikipedia.org/wiki/Carlos_Alcaraz,dependency
